station,id,longitude,latitude,altitude,departement
THEIX,63345001,3.016667,45.7,820,63
TILCHATEL_SAPC,21638002,5.2075,47.544833,283,21
TORCY,71540001,4.466667,46.766667,322,71
TORTEZAIS_SAPC,3285001,2.857,46.451333,256,3
TOULON,83137001,5.900667,43.115833,3,83
TOULOUSEBLAGNAC,31069001,1.378833,43.621,151,31
TOURS,37179001,0.727333,47.4445,108,37
TOUSSUS_LE_NOBLE,78620001,2.1135,48.750667,154,78
TRAPPES,78621001,2.009833,48.774333,167,78
TROYESBARBEREY,10030001,4.02,48.324667,112,10
TULLE,19272001,1.740333,45.2425,235,19
UZERCHE,19276006,1.568167,45.396333,422,19
VAILLY_SAULDRE,18269003,2.615833,47.453833,226,18
VALBONNESOPHIA,6152002,7.0285,43.623167,238,6
VALDROME,26361001,5.576667,44.505333,786,26
VALSLESBAINS,7331001,4.360667,44.6695,283,7
VANNESSENE,56243001,-2.714167,47.6045,3,56
VARENNESSTSA,71558001,5.255333,46.529333,207,71
VERTUSCIVC,51612003,3.995333,48.9025,150,51
VERT_TOULONCIVC,51611001,3.906,48.84,155,51
VICHYCHARMEIL,3060001,3.398667,46.166667,249,3
VIC_LE_FESQ,30349001,4.072167,43.870833,45,30
VIERZON,18279005,2.073167,47.237833,155,18
VILLACOUBLAY,78640001,2.204,48.7725,174,78
VILLAR_ST_PANCRACE,5183001,6.640333,44.880333,1310,5
VILLEFORT,48198001,3.928333,44.441667,620,48
VILLENAVE_DORNONINRAE,33550001,-0.576667,44.79,25,33
VILLETTE,75119002,2.336667,48.868333,57,75
VINON_SUR_VERDON,83150002,5.782667,43.734,271,83
VINSOBRES,26377002,5.058333,44.283333,210,26
VITRYLECROISECIVC,10438001,4.554167,48.144333,237,10
